date,baseline (no disruption),25% pass-through,50% pass-through,full measured loss
2025-02-01,75.66184501515555,75.66184501515555,75.66184501515555,75.66184501515555
2025-03-01,75.71237256797052,75.71237256797052,75.71237256797052,75.71237256797052
2025-04-01,76.05944151163672,76.05944151163672,76.05944151163672,76.05944151163672
2025-05-01,76.56364356660337,76.56364356660337,76.56364356660337,76.56364356660337
2025-06-01,74.06147820122422,74.06147820122422,74.06147820122422,74.06147820122422
2025-07-01,75.58352102137721,75.58352102137721,75.58352102137721,75.58352102137721
2025-08-01,73.96760838886314,73.96760838886314,73.96760838886314,73.96760838886314
2025-09-01,73.30949081813118,73.30949081813118,73.30949081813118,73.30949081813118
2025-10-01,72.70623673559267,72.70623673559267,72.70623673559267,72.70623673559267
2025-11-01,72.37084666889065,72.37084666889065,72.37084666889065,72.37084666889065
2025-12-01,72.83033656282805,72.83033656282805,72.83033656282805,72.83033656282805
2026-01-01,72.2499473255882,72.2499473255882,72.2499473255882,72.2499473255882
2026-02-01,72.22918755149097,72.22918755149097,72.22918755149097,72.22918755149097
2026-03-01,72.2124013885718,75.57643354760934,79.09717995723864,86.6383579119959
2026-04-01,71.99359318364472,76.91759068456106,82.17836470012065,93.80395290952397
2026-05-01,70.28992670652448,75.11534792310616,80.27203552462312,91.67173717750153
2026-06-01,69.30857974778236,74.51636887745758,80.11546695788407,92.60740977865993
2026-07-01,67.8667954443839,72.99379704166113,78.50811831723412,90.81797072271922
2026-08-01,67.228924402383,72.71904751027655,78.6575111502813,92.02890147885988
2026-09-01,67.04053926164158,72.97770468951572,79.4406703825156,94.13438764557104
2026-10-01,66.90604883598526,72.72811189652919,79.05680206883166,93.41424373559614
2026-11-01,66.34622522274556,72.23844683747444,78.65395783966314,93.24486906487336
2026-12-01,66.46359412586682,72.49533248779197,79.07446627942892,94.07813856011497
2027-01-01,66.55449238243709,73.21326542276147,80.53824831332057,97.46012942455805
2027-02-01,66.64127338797725,73.35552483294262,80.74625153377177,97.83662294081259
2027-03-01,67.18883458449271,72.25375123714623,77.70047806491249,89.8566603938295
2027-04-01,66.86941836268258,71.66550494222408,76.8055820490003,88.21816576735458
2027-05-01,66.59558533153015,71.2442926539433,76.21750316469658,87.22962280068991
2027-06-01,65.82586524405556,70.29260766825675,75.06244960828178,85.59509731176162
2027-07-01,65.95325715991751,70.82767722414552,76.0623519897439,87.7209350886732
2027-08-01,66.06255927784653,71.07268190950424,76.46276754984099,88.5002773930014
2027-09-01,66.2106084595221,70.68908927223757,75.470494206276,86.02542142807323
2027-10-01,66.35657374251308,71.05935271377409,76.0954239092291,87.2636004745289
2027-11-01,66.4785984303071,72.22013869427416,78.45755711122776,92.59503679691416
2027-12-01,66.69136683135757,72.60218058882452,79.03686603966685,93.6676887904935
2028-01-01,66.85167807231622,72.47518725562487,78.5717414910046,92.34650107437996
