date,rea,cpi,crude_prod_millions_barrels_day,crude_prod_millions_barrels_day_nsa,price_per_barrel,price_per_barrel_nsa,wip,dprod,dwip,rpoil
1974-01-01,105.18759,46.8,55497.5546004154,55474,9.59,9.59,44.12575,NA,NA,-158.5162314028254
1974-02-01,88.249638,47.3,55875.2413731472,55943,12.45,12.45,43.92731,0.6782414273869719,-0.45072899443407977,-133.47896725871706
1974-03-01,97.83784,47.8,56370.3208966557,56375,12.73,12.73,43.89911,0.8821421960563569,-0.06421758047090442,-132.3064226928095
1974-04-01,85.865336,48.1,57400.7589401939,57110,12.72,12.72,43.91048,1.8114730430388803,0.025896943747349965,-133.01066191997393
1974-05-01,103.62493,48.6,57800.8398270628,57279,13.02,13.02,44.12793,0.6945780260043222,0.49398993506439837,-131.71368941260252
1974-06-01,81.958255,49,57261.5459163201,56858,13.06,13.06,43.99809,-0.9374007957914543,-0.294669143006665,-132.22661742623413
1974-07-01,61.65831,49.3,55913.3799781796,55765,12.75,12.75,43.59385,-2.3825590372268834,-0.9230138525231801,-135.23928094442093
1974-08-01,58.29543,49.9,54627.7811811659,54302,12.68,12.68,43.52949,-2.3261140931206015,-0.1477445922236864,-136.99950537483932
1974-09-01,60.04644,50.6,54873.5285151676,54841,12.53,12.53,43.02672,0.4488489631091497,-1.1617321381428791,-139.5825807385443
1974-10-01,61.203348,51,54664.5099867212,55013,12.44,12.44,42.58267,-0.3816368907012091,-1.037395506128913,-141.09085454132926
1974-11-01,58.6207,51.5,54411.0966060622,55088,12.53,12.53,41.76262,-0.4646572125905024,-1.9445681925016611,-141.34560387617137
1974-12-01,21.460085,51.9,53938.4308286305,54596,12.82,12.82,40.56196,-0.8724888553562238,-2.9170999483160376,-139.8312338679319
1975-01-01,-1.1018931,52.3,52442.3217212889,52420,12.77,12.77,40.07324,-2.81292944591911,-1.2121901709976513,-140.98977010264292
1975-02-01,-10.047002,52.6,51340.0664830367,51408,13.05,13.05,39.66098,-2.1242461378712107,-1.0340947055147875,-139.39279859749618
1975-03-01,-26.847535,52.8,51322.0299379637,51326,13.28,13.28,39.34963,-0.035137691294906404,-0.7881260797882206,-138.0252046663928
1975-04-01,-41.598666,53,51240.2939611605,50946,13.26,13.26,39.36544,-0.1593879526119224,0.04017019920734555,-138.55399287944053
1975-05-01,-44.261852,53.1,51711.5202839773,51181,13.27,13.27,39.10808,0.9154372209895456,-0.6559178757255868,-138.6671079903777
1975-06-01,-37.114516,53.5,52883.0725679372,52475,14.15,14.15,39.41539,2.240271222391854,0.7827253914457266,-132.99670298127143
1975-07-01,-42.096149,54,54009.404949248,53856,14.03,14.03,39.45966,2.107489873318258,0.11225350639691989,-134.77861524499048
1975-08-01,-45.806326,54.2,55342.5712393835,55017,14.25,14.25,39.63263,2.4384238737154007,0.4373884629093716,-133.59240017309412
1975-09-01,-34.594679,54.6,56776.0879385414,56741,14.04,14.04,40.0177,2.5572814226535456,0.9669087373565421,-135.81234841531943
1975-10-01,-34.183466,54.9,51036.9204772293,51389,14.66,14.66,40.42241,-10.656594835089628,1.0062477906894962,-132.03906520569794
1975-11-01,-24.2835,55.3,52511.3048004322,53192,15.04,15.04,40.61921,2.8479174210749747,0.48567732690214527,-130.20595900065953
1975-12-01,-35.903686,55.6,53254.1780390888,53916,14.81,14.81,40.92939,1.4047786390060324,0.7607279483883733,-132.28805729768294
1976-01-01,-46.206636,55.8,53151.884183537,53133,13.27,13.27,41.38901,-0.19227078782630969,1.1166999754126827,-143.62680210431492
1976-02-01,-50.463784,55.9,54492.5311894625,54565,13.26,13.26,41.84017,2.491009542150735,1.0841496192317113,-143.8812395403337
1976-03-01,-32.73254,56,55919.6398405496,55927,13.51,13.51,41.97124,2.5852007402324517,0.31277389761630303,-142.19215387630416
1976-04-01,-29.141814,56.1,55197.9925575955,54905,13.39,13.39,42.45435,-1.2989071373633365,1.1444759183449005,-143.26276528255696
1976-05-01,-19.545964,56.4,55675.0975144407,55140,13.41,13.41,42.86903,0.8606378724579145,0.9720272802992369,-143.64684612104261
1976-06-01,-16.415709,56.7,57360.8858649319,56950,13.48,13.48,42.86155,2.9829675485290252,-0.01745001612953878,-143.65671052495455
1976-07-01,-21.723309,57,57450.5427774659,57293,13.51,13.51,43.07038,0.15618119523264085,0.4860368226390577,-143.96211158624425
1976-08-01,-24.205486,57.3,58024.908127607,57699,13.58,13.58,43.109610000000004,0.9947916761204212,0.09104202195824307,-143.9702501590144
1976-09-01,-24.936399,57.6,58636.0863869442,58596,13.47,13.47,43.54618,1.0477946866611632,1.0076042088288162,-145.30575772795729
1976-10-01,-21.023552,57.9,60037.2753394389,60391,13.49,13.49,43.59222,2.361530927845834,0.1056709884142304,-145.6768714359285
1976-11-01,-19.592315,58.1,60273.2999368559,60955,13.58,13.58,44.03595,0.39235935771504415,1.0127651707227958,-145.35675417273154
1976-12-01,-35.992374,58.4,61799.2100416232,62462,13.71,13.71,44.20273,2.50013633267816,0.37802061093059613,-144.91903962599582
1977-01-01,-49.372298,58.7,56848.6805331638,56833,14.11,14.11,44.39975,-8.349757157567339,0.4447286909522674,-142.55559609693282
1977-02-01,-45.281339,59.3,60572.3297457979,60649,14.5,14.5,44.43105,6.3445173636441865,0.07047105574944368,-140.8460656577151
1977-03-01,-45.617324000000004,59.6,61135.0615922577,61144,14.54,14.54,44.68892,0.9247357130410805,0.5787046823958253,-141.07521019659308
1977-04-01,-43.736517,60,60475.9667283004,60186,14.36,14.36,44.66613,-1.0839499121011897,-0.051009988790040595,-142.98979986020225
1977-05-01,-35.986923,60.2,58798.3052835406,58262,14.62,14.62,44.81815,-2.813300917337358,0.3397695019670799,-141.5281897993143
1977-06-01,-40.760559,60.5,59571.315972755,59158,14.63,14.63,44.83628,1.3061149815367656,0.04044418161406327,-141.9569150004763
1977-07-01,-44.555116,60.8,58187.6000580864,58028,14.44,14.44,44.60905,-2.350190797986329,-0.5080879881258493,-143.75876555074413
1977-08-01,-47.259747,61.1,59178.9217361867,58854,14.68,14.68,44.89521,1.6893152118642618,0.6394354303052907,-142.60258429911804
1977-09-01,-47.417903,61.3,60134.163908208,60089,14.5,14.5,45.0286,1.6012704350897522,0.29667359031213536,-144.1631193515637
1977-10-01,-33.186706,61.6,59606.7671721116,59961,14.56,14.56,44.99986,-0.8809020303775839,-0.06384647916068964,-144.23838277709342
1977-11-01,-33.665316,62,60432.6365885251,61113,14.61,14.61,45.01122,1.376018909682486,0.02524133708945442,-144.54281592824836
1977-12-01,-38.235341,62.3,61691.5486936255,62350,14.76,14.76,45.37497,2.0617647479308943,0.8048839402508001,-144.0040606621081
1978-01-01,-38.706701,62.7,56720.3736570077,56705,14.52,14.52,45.28913,-8.401347740900178,-0.18935835826838776,-146.2834438242225
1978-02-01,-39.015388,63,58129.3365383451,58208,14.41,14.41,45.13367,2.453699828672562,-0.343851668322781,-147.52123163801022
1978-03-01,-39.47966,63.4,58709.6898145615,58717,14.57,14.57,45.48467,0.9934318476958026,0.7746814946790082,-147.04992412360667
1978-04-01,-40.096569,63.9,59898.0386062791,59610,14.4,14.4,46.52699,2.003897340300931,2.2657228207786595,-149.0091154801534
1978-05-01,-22.993335,64.5,59130.0607664268,58596,14.51,14.51,46.19706,-1.2904322608550345,-0.7116414617259093,-149.18271569056301
1978-06-01,-17.427541,65,60395.3302630101,59981,14.54,14.54,46.45106,2.11723509183237,0.54831255371063925,-149.74837977902638
1978-07-01,-26.029458,65.5,59711.3190681546,59555,14.49,14.49,46.60526,-1.1390186867121344,0.3314125061832929,-150.8591386308615
1978-08-01,-26.469647,65.9,60677.4730918533,60357,14.46,14.46,46.90024,1.605090887500893,0.6309382411812781,-151.6752224777843
1978-09-01,-14.202043,66.5,62526.0386999211,62477,14.53,14.53,47.25621,3.0010578745923056,0.7561281165272771,-152.0986470079617
1978-10-01,-18.237698,67.1,62548.9053456055,62906,14.63,14.63,47.41009,0.03656471104367398,0.32510013707076624,-152.3109828945603
1978-11-01,-4.2133692,67.5,62373.2647171049,63054,14.74,14.74,47.7097,-0.28120027718099294,0.6299656272397147,-152.15627111172935
1978-12-01,-7.2139832,67.9,61037.1220703667,61691,14.94,14.94,48.44259,-2.165449591077895,1.5244653945303277,-151.39938548599793
1979-01-01,-16.490657,68.5,60162.134037992,60148,15.5,15.5,47.5531,-1.4439085888833247,-1.8532404065210617,-148.59937213429785
1979-02-01,-11.037431,69.2,60392.9069563924,60473,15.88,15.88,48.01445,0.3828511829556902,0.9655025872207457,-147.19404068046342
1979-03-01,6.8645026,69.9,61629.274066876504,61633,16.41,16.41,48.24409,2.0265322464641855,0.4771325965604589,-144.91747441377652
1979-04-01,8.8449913,70.6,63159.5465343394,62870,17.58,17.58,48.3018,2.452702371540383,0.11954938086602418,-139.02682522421654
1979-05-01,28.650797,71.4,63198.7742734277,62667,19,19,48.65648,0.06208968289183048,0.7316169017405283,-132.38588901790982
1979-06-01,45.937376,72.2,63336.0616046743,62919,21.03,21.03,48.85663,0.2169953976141059,0.4105094813896315,-123.34900561841722
1979-07-01,53.965294,73,63703.8003865343,63552,23.09,23.09,48.96999,0.5789360964525869,0.23175706313742772,-115.10598177819871
1979-08-01,36.871668,73.7,63741.5199918906,63425,23.98,23.98,49.1261,0.05919339579616434,0.318280028868978,-112.27826495959228
1979-09-01,43.44171,74.4,63239.5901658528,63183,25.06,25.06,49.02059,-0.7905623751167212,-0.21500478649891797,-108.81829923711241
1979-10-01,43.370703,75.2,63271.7628708525,63629,25.05,25.05,49.24184,0.050861373182620184,0.450325468033963,-109.92774034249204
1979-11-01,48.883319,76,63274.4260103489,63954,27.02,27.02,49.47119,0.0042089604125550295,0.4646811321530553,-103.41560077542782
1979-12-01,35.07375,76.9,62838.7686994413,63490,28.91,28.91,49.64069,-0.6909016061312556,0.3420380387262778,-97.83183204833436
1980-01-01,34.453892,78,62355.635394757,62348.011,30.75,30.75,49.81555,-0.7718167701444401,0.3516323966637813,-93.08188324370649
1980-02-01,39.811438,79,62629.9092622116,62715.757,32.4,32.4,49.9913,0.43888964675389275,0.3521806001370642,-89.1289429668738
1980-03-01,41.791067,80.1,61645.0114577872,61647.494,33.42,33.42,50.01566,-1.585063855738511,0.04871661028746921,-87.41213309070658
1980-04-01,60.125079,80.9,60683.4120039596,60391.36,33.54,33.54,49.37711,-1.5721926822857668,-1.2849199905842212,-88.04750676693833
1980-05-01,63.284364,81.7,60308.5291301119,59778.782,34.33,34.33,48.7445,-0.619684369034168,-1.2894585919099644,-86.70343943963566
1980-06-01,56.526424,82.5,60429.8544645928,60008.624,34.48,34.48,48.58969,0.20097233655889113,-0.31810020824254437,-87.2418847545143
1980-07-01,44.415864,82.6,59757.2461147894,59608.899,34.51,34.51,48.33154,-1.1192804693921587,-0.5327018868058531,-87.27605434170202
1980-08-01,53.171852,83.2,59760.3363328063,59446.012,34.44,34.44,48.28743,0.005171152150573732,-0.0913071275020716,-88.2028668267633
1980-09-01,54.423749,83.9,58362.9176995254,58297.803,34.46,34.46,48.2429,-2.3661451611486584,-0.09226116425522513,-88.98263823733771
1980-10-01,54.311337,84.7,55486.2816549065,55842.496,34.63,34.63,48.52185,-5.0544904446294225,0.5765545257466975,-89.43952432436781
1980-11-01,64.139789,85.6,55992.1375542144,56668.926,35.09,35.09,48.96902,0.907546725048114,0.9173641305845859,-89.17690935525725
1980-12-01,67.780448,86.4,57400.5367298593,58047.975,35.63,35.63,48.98382,2.4842373915783256,0.030218623804323386,-88.57996961922653
